Day of the week , Schedule
Понедельник, 10:10-11:40 Арх. конструкции 5019 ; 11:50-13:20 &&Живопись 6004 ; 14:00-15:30 &&Живопись 6004 ; 15:40-17:10 &&История арх. и дизайна 5022
Вторник, 10:10-11:40 Ин. яз 4001 | Инф. тех. 209 ; 11:50-13:20 &&Арх. проектирование ; 14:00-15:30 &&Арх. проектирование ; 15:40-17:10 Инф. тех | Франц. яз
Среда, 8:30-10:00 &&Военное обучение ; 10:10-11:40 &&Военное обучение ; 11:50-13:20 &&Военное обучение ; 14:00-15:30 &&Военное обучение ; 15:40-17:10 &&Военное обучение ; 17:20-18:50 &&Военное обучение
Четверг, 8:30-10:00 &&Арх. проектирование ; 10:10-11:40 &&Арх. проектирование ; 11:50-13:20 &&Скульптура 8 ; 14:00-15:30 &&Скульптура 8
Пятница, 8:30-10:00 | Ин. яз. 4012 ; 10:10-11:40 | Стр. мех. 5017 ; 11:50-13:20 &&История архитектуры и дизайна 5005 ; 14:00-15:30 &&Стр. мех. 5005
