Day of the week , Schedule
Понедельник, 8:30-10:00 Инф. тех. Лобкова 204 ; 10:10-11:40 Стр. мех. Бойтемирова 5017 | Арх. конст ; 11:50-13:20 &&Композиционное моделирование 6014 ; 14:00-15:30 &&Композиционное моделирование 6014
Вторник, 8:30-10:00 | Ин. яз ; 10:10-11:40 &&Арх. конструкции и теория конструирования Хохлова 5005 ; 11:50-13:20 &&Арх. проектирование ; 14:00-15:30 &&Арх. проектирование ; 15:40-17:10 | Франц. яз
Среда, 8:30-18:50 &&Военное обучение
Четверг, 8:30-10:00 &&Арх. проектирование ; 10:10-11:40 &&Арх. проектирование ; 11:50-13:20 &&Рисунок 6015 ; 14:00-15:30 &&Рисунок 6015
Пятница, 8:30-10:00 &&Арх. колористика 4025 ; 10:10-11:40 &&Арх. колористика 4025 ; 11:50-13:20 &&История архитектуры и дизайна 5005 ; 14:00-15:30 Ин. яз 4005
